周鸿祎	nr
奇虎	nt
限购    v
四线城市 nz
墓主人 nz
上报文物部门 v
阿尔兹海默综合症 n
洪荒之力 n
跪舔 v
颜值 n
酸爽 ad
醉了 y
高冷 ad
放水 v
特么 y
躺枪 v
毒趴 n
愤青 n
cos v
你懂得 v
装叼 v
心焦 n
b格 n
逼格 n
搅基 v
大拿 n
萌萌达 ad
友尽 v
ccav n
狠嫁 ad
颜射 v
萌萌哒 ad
傻吊 ad
呦西 y
口爆 v
么么达 y
美刀 n
死党 n
车黑 n
拼爹 v
炮灰 n
大咖 n
孔雀女 n
卖腐 v
作死 v
趴体 n
大趴 n
可耐 ad
蓝颜知己 n
419 n
213 ad
粑粑 n
丁丁 n
痴女 n
潜规则 n
痴汉 n
油菜花 ad
吊炸天 ad
大号 n
萌翻了 ad 
女票 n
小号 n
逗逼 ad 
拉倒 v
挽尊 v
泪奔 v
男票 n
人妻 n
尿点 n
逗b ad
鸡奸 v
甩奶 v
撸力 n
残念 n
乙女 n
上道 ad
矫情 ad
屌 ad
逗比 ad
捉鸡 v
弯女 n
牛屄 n
绿帽子 ad
先森 n
杰宝 n
范儿 n
直女 n
碧池 n
炮友 n
山寨 ad
墨迹 ad
有范 ad
灰机 n
有码 ad
无码 ad
马赛克 n
拉黑 v
高富帅 n
闹太套 y
无下限 ad
秀下限 ad
混趴 n
混脸熟 v
av n
gay n
弯男 n
爆表 ad
嗨森 ad
直男 n
脱光 v
艾特 v
哦凑 y
赶脚 v
啪啪啪 v
素人 n
a货 n
bug n
切克闹 y
嗑药 v
装犊子 v
鸟人 n
黑出翔 ad
强撸 v
牛13 ad
傻13 ad
女汉子 n
装13 ad
哦多克 y
滚犊子 v
a片 n
碰瓷 v
傻b ad
干巴爹 v
土豪金 n
揩油 v
喜当爹 v
装逼 v
绝壁 ad
接地气 ad
矮穷挫 n
爪机 n
嘉年华 n
狗仔 n
打蝴蝶 v
马克 v
嗦嘎 y
狗血 ad
爆菊花 v
滚粗 v
怪咖 n
爆菊 v
废材 n
土豪 n
哟西 y
聊骚 v
活春宫 v
搜噶 y
杀马特 n
亚麻跌 y
打炮 v
锤子 n
扯淡 v
扯蛋 v
艾玛 y
八嘎 y
卡哇伊 ad
爱爱 ad
水军 n
空军 n
b嘴 n
溜冰 v
操蛋 ad
zzz v
大v n
毛线 n
ed ad
屁颠 ad
潮吹 v
煞笔 ad
波推 v
阴经 n
鸡巴 n
略屌 ad
Y的 y
叫兽 n
弱爆 ad
揉道 v
恶爆 ad
日 e
思密达 ad
么么哒 ad
妈蛋 e
ps v
草包 n
宅女 n
八婆 n
宅男 n
69 v
鸡婆 n
口爱 v
口耐 ad
耐操 ad
废柴 ad
劳资 n
耽美 n
撸管 v
sm n
咪咪 n
盆友 n
绿茶婊 n
得瑟 ad
拉皮条 n
滚床单 v
正能量 n
吃货 n
装b v
磨叽 ad
磨镜 v
三级片 n
本宫 ad
乌龙 n
完爆 ad
三八 n
穿帮 v
嘿咻 v
毛片 n
软妹 n
爬墙 v
衰 ad
十三点 ad
二百五 ad
钉子户 n
嫩模 n
屁民 n
娘炮 ad
手滑 v
约炮 v
无良 ad
试爱 v
百合 n
纠结 ad
躲猫猫 v
援交 v
土肥圆 n
逆袭 v
XXOO v
style n
正点 ad
派对 n
微命 n
法克 v
凤凰男 n
河蟹 ad
奇葩 ad
现充 ad
凯子 n
搞基 v
脱线 ad
马子 n
翔 n
基佬 n
哦谢特 y
五美分 n
五毛 n
次奥 y
les n
孬种 n
化学阉割 n
矮穷矬 n
骚年 n
有种 ad
开黑 v
失爪 ad
黑店 n
重口味 n
吊丝 ad
自宫 v
谢特 y
2b ad
脑残 ad
备胎 n
傻逼 ad
吃软饭 ad
断背 ad
断背山 ad
断袖 ad
民奸 ad
八卦 n
屁话 n
苦b ad
苦逼 ad
老二 n
软饭 n
劈腿 v
小样 n
鱼干女 ad
剩男 ad
乳酸 ad
戒撸 v
和谐 ad
剩女 n
切糕 n
歇火 ad
傻冒 ad
蛋碎 ad
轻熟女 n
元芳 n
菊花紧 ad
粉木耳 ad
歇菜 n
淫 ad
露点 v
哦也 y
红客 n
那尼 y
应招 v
牛X ad
傲娇 ad
抓狂 ad
蛋定 ad
我顶你个肺 y
牛叉 ad
双飞 n
人妖 n
骇客 n
卧槽 y
开刀 v
切 y
闪 v
麻痹 y
闷骚 ad
老鸟 ad
怨念 n
二逼 ad
极品 ad
幼齿 ad
靠 y
王道 n
奶奶个熊 ad
奶奶的熊 ad
蕾丝 ad
美眉 ad
火星贴 ad
大姨妈 n
逆天 v
蕾丝边 n
猫 n
咸猪手 ad
型女 ad
天朝 n
呕像 n
亮骚 ad
酿紫 y
闪客 n
女优 n
稀饭 v
型男 n
肉鸡 ad
杀人 v
姐贵 ad
兄贵 ad
哦了 y
3P n
腹黑 ad
pose n
SB ad
亚美爹 y
鬼畜 ad
gl n
包子 ad
BL n
花痴 ad
二货 ad
抽风 ad
肿么办 y
腐男 ad
菊花 n
拉子 n
拉拉 n
萝莉 n
18禁 n
饭局 n
达人 ad
腐败 ad
3Q v
御姐 n 
白丁 n
丁克 ad
穿越 v
打手枪 v
打飞机 v
猥琐 ad
仙人跳 n
放鸽子 v
火星帖 ad
地板 n
板凳 n
高帅富 ad
虾米 y
欧了 y
秒杀 v
沙发 n
呐尼 y
尼玛 y
卖萌 v
萌 ad
撸管子 v
干物女 ad
小清新 ad
穷游 v
震精 ad
腐女 n
牛B ad
屌爆 ad
肿么了 y
纳尼 y
你妹 y
碉堡 ad
感冒 v
二b ad
草根 n
人肉 v
囧 ad
波霸 ad
神马 y
睡服 v
亲 y
我勒个去 y
给力 ad
坑爹 ad
你懂的 y
伤不起 y
围脖 n
基情 n
鸡冻 ad
灰常 y
酱紫 y
相当ok ad
齐b小短裙 n
太监帖 n
意淫 v
浮云 n
打酱油 v
out v
hold住 v
强淫 v
鸟 n
熟女 n
白富美 ad
伪娘 n
黑木耳 ad
屌丝 ad
正太 n
鸭梨 n
吐槽 v
基友 n
酷 ad
马甲 n
XXX n
粉丝 n
潜水 v
PK v
ml v
有料 ad
把妹 v
童鞋 n
车震 v
牛逼 ad
月光族 n
驴友 n
小三 n
二奶 n
小白脸 n
小白 n
控 v
悲催 ad
杯具 ad
同志 n
jb n
有木有 y
BF n
GF n
ing y
表 y
偶 n
菜鸟 n
大虾 n
青蛙 n
恐龙 n
养眼 ad
小强 n
王老五 ad
high ad
东东 n
撮 v
happy ad
泡妞 v
顶 v
斑竹 n
灌水 v
拍砖 v
淡定 ad
蛋疼 ad
